,Neighborhood,sold,sqft,Avg 20% Downpayment,Avg High Closing Cost,Avg Property Taxes,15 Years Monthly Mortgage,30 Years Monthly Mortgage,rent,Annual Cap Rate,Cash on Cash Return
0,Central Harlem,920000.0,966.0,184000.0,46000.0,7360.0,5425.680200353617,3729.203880318519,3450.0,1.660455486542443,-1.456715897314013
1,Chelsea/Clinton,1625000.0,1070.0,325000.0,81250.0,13000.0,9583.40252779851,6586.909027736515,5000.0,1.6996336996336996,-4.687485128083244
2,East Harlem,590000.0,755.0,118000.0,29500.0,4720.0,3479.512302400689,2391.5546623781806,3200.0,2.5310734463276834,6.577182407770733
3,Gramercy/Murray,1250000.0,880.0,250000.0,62500.0,10000.0,7371.848098306545,5066.853098258857,3850.0,1.3866666666666667,-4.672715897314012
4,Greenwich/Soho ,2750000.0,1416.0,550000.0,137500.0,22000.0,16218.065816274398,11147.076816169487,8000.0,1.9393939393939394,-5.49307953367765
5,Inwood/Washington Heights,481650.0,800.0,96330.0,24082.5,3853.2000000000003,2840.5205092394776,1952.359835821103,2400.0,1.3736115436520293,4.461066724922051
6,Lower Eastside ,1590000.0,985.0,318000.0,79500.0,12720.0,9376.990781045924,6445.037140985267,4296.5,1.2481581311769991,-6.4861498595781635
7,Lower Manhattan,1225000.0,1083.0,245000.0,61250.0,9800.0,7224.411136340414,4965.51603629368,4709.0,2.2319144800777453,-1.005124060579319
8,Upper Eastside,1490000.0,950.0,298000.0,74500.0,11920.0,8787.242933181402,6039.688893124558,4400.0,1.462448066474912,-5.2822192530187095
9,Upper Westside ,1301680.0,974.0,260336.0,65084.0,10413.44,7676.62978608293,5276.337072753271,4500.0,1.8720539903011786,-2.8627757584165856
