,Neighborhood,sold,sqft,Avg 20% Downpayment,Avg High Closing Cost,Avg Property Taxes,15 Years Monthly Mortgage,30 Years Monthly Mortgage,rent,Annual Cap Rate,Cash on Cash Return
0,Central Harlem,981250.0,1253.5,196250.0,49062.5,7850.0,5786.900757170638,3977.479682133203,3450.0,1.5092508340915984,-2.5802827762949034
1,Chelsea/Clinton,1100000.0,1046.0,220000.0,55000.0,8800.0,6487.226326509759,4458.830726467794,5000.0,2.874458874458875,2.3614659208678073
2,East Harlem,719000.0,1600.0,143800.0,35950.0,5752.0,4240.287026145925,2914.453902118495,3200.0,1.940260944433406,1.906288275147738
3,Gramercy/Murray,819000.0,900.0,163800.0,40950.0,6552.0,4830.034874010448,3319.8021499792035,3850.0,2.5173556602128033,3.107386666788551
4,Greenwich/Soho ,2750000.0,1800.0,550000.0,137500.0,22000.0,16218.065816274398,11147.076816169487,8000.0,1.9393939393939394,-5.49307953367765
5,Inwood/Washington Heights,587250.0,1000.0,117450.0,29362.5,4698.0,3463.2942365844146,2380.4075855620113,2400.0,0.9896004378763,0.16014234023387983
6,Lower Eastside ,984000.0,875.0,196800.0,49200.0,7872.0,5803.118822986911,3988.6267589493727,4296.5,2.4860627177700345,1.5018206880518403
7,Lower Manhattan,1537500.0,1474.5,307500.0,76875.0,12300.0,9067.37316091705,6232.2293108583945,4709.0,1.6234146341463414,-4.755447604631085
8,Upper Eastside,975000.0,1150.0,195000.0,48750.0,7800.0,5750.0415166791045,3952.145416641909,4400.0,2.6373626373626373,2.2048225642244486
9,Upper Westside ,1050000.0,1127.0,210000.0,52500.0,8400.0,6192.352402577498,4256.15660253744,4500.0,2.503401360544218,1.1147126741145579
