,index,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
0,0,1,ALPHABET CITY,01 ONE FAMILY DWELLINGS                    ,1,390,61, ,A4,189+EAST+7TH+STREET, ,10009,1,0,1,987,"2,183",1860,1, A4 , 4844809 ,5/22/2018
1,2,1,ALPHABET CITY,01 ONE FAMILY DWELLINGS                    ,1,400,19, ,A4,526+EAST+5TH+STREET, ,10009,1,0,1,"1,883","5,200",1900,1, A4 , 6100000 ,12/3/2018
2,6,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2,379,37, ,C7,133+AVENUE+D, ,10009,20,2,22,"3,481","14,588",1930,2, C7 , 8300000 ,12/10/2018
3,7,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2,385,2, ,C7,21-23+AVENUE+B, ,10009,12,4,16,"4,186","10,588",1900,2, C7 , 10350000 ,9/7/2018
4,8,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2,389,18, ,C1,200+EAST+7TH+STREET, ,10009,18,0,18,"2,271","10,650",1910,2, C1 , 5000000 ,9/5/2018
5,9,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2A,390,54, ,C3,203+EAST+7TH+STREET, ,10009,4,0,4,"1,950","5,446",2001,2, C3 , 6250000 ,5/9/2018
6,10,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2B,390,64, ,C4,187+EAST+7TH+STREET, ,10009,8,2,10,"1,642","5,220",1910,2, C4 , 2400000 ,5/18/2018
7,14,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2,393,23, ,C7,632+EAST+11TH+STREET, ,10009,33,2,35,"4,740","19,980",1900,2, C7 , 17250000 ,12/5/2018
8,15,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2,393,47, ,C4,377+EAST+10TH, ,10009,12,0,12,"2,370","10,715",1900,2, C4 , 954623 ,6/4/2018
9,20,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2,398,33, ,C7,28+AVENUE+B, ,10009,16,1,17,"1,933","8,699",1900,2, C7 , 5000000 ,3/5/2018
